"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","street","city","statezip","country"
"4282",360000,4,2.5,2380,5000,2,0,0,3,2380,0,2005,0,"22840 SE 269th St","Maple Valley","WA 98038","USA"
"1822",402500,3,3.25,2780,4002,2,0,0,3,2780,0,2009,0,"14806 279th Ln NE","Duvall","WA 98019","USA"
"4392",274750,4,2.5,1840,1562,2,0,0,3,1400,440,2004,2003,"2414 SW Holden St","Seattle","WA 98106","USA"
"845",675000,5,2.5,3200,6455,2,0,0,3,3200,0,2009,0,"6227-6299 Whitaker Ln SE","Snoqualmie","WA 98065","USA"
"3599",415000,3,2.75,2600,64626,1.5,0,0,3,2600,0,2009,0,"69506 NE Money Creek Rd","Skykomish","WA 98288","USA"
"3507",216500,2,1.75,1390,4482,1,0,0,4,1390,0,1980,0,"24801-24805 11th Ave S","Des Moines","WA 98198","USA"
"1092",429000,3,2.5,2420,49928,2,0,0,3,1860,560,1985,0,"24998 SE 155th Pl","Issaquah","WA 98027","USA"
"2995",420000,5,2.75,2280,10319,1,0,0,3,1300,980,1959,1989,"504 NW 175th Ct","Shoreline","WA 98177","USA"
"1568",3100000,6,4.25,6980,15682,3,0,4,4,5330,1650,1999,0,"5243 Forest Ave SE","Mercer Island","WA 98040","USA"
"3798",535000,4,1.75,1420,5000,1.5,0,0,4,1420,0,1945,0,"3027 NW 67th St","Seattle","WA 98117","USA"
"1523",782000,4,3.5,3910,8095,2,0,0,3,3130,780,2007,0,"4801-4999 229th Ave SE","Issaquah","WA 98029","USA"
"2704",350000,3,2,1380,3600,3,0,0,3,1380,0,2013,1923,"600 21st Ave","Seattle","WA 98122","USA"
"1719",492000,3,1.75,2770,39927,1,0,0,4,1580,1190,1978,2000,"15017 253rd Ave SE","Issaquah","WA 98027","USA"
"1254",402000,3,2,1540,1827,2,0,0,3,1540,0,2005,0,"2460 NE Park Dr","Issaquah","WA 98029","USA"
"2596",699850,4,3.5,2690,6164,2,0,0,3,2690,0,2002,0,"1010 274th Way SE","Sammamish","WA 98075","USA"
"1264",661254,4,4,2290,6250,1.5,0,0,5,1690,600,1940,0,"2319 41st Ave SW","Seattle","WA 98116","USA"
"2438",336750,2,2.25,1170,1011,2,0,0,3,1170,0,2009,0,"2277 NW Hidden Ln","Issaquah","WA 98027","USA"
"680",543000,2,2,2370,217800,1.5,0,0,3,1600,770,1992,0,"11400-11598 SE 114th Pl","Issaquah","WA 98027","USA"
"2197",435000,5,2.25,1970,15247,1,0,0,3,1450,520,1986,0,"4309 327th Pl SE","Fall City","WA 98024","USA"
"3814",255000,4,2,2430,8960,1,0,0,3,1430,1000,1960,2012,"8019 S 117th St","Seattle","WA 98178","USA"
"2361",578000,4,2.5,3140,9225,1,0,2,5,1770,1370,1966,0,"540 Raymond Pl NW","Renton","WA 98057","USA"
"4265",309000,3,2.25,1980,8755,1,0,0,4,1300,680,1963,0,"23300-23306 10th Ave S","Des Moines","WA 98198","USA"
"267",352000,5,2.5,2420,8560,1,0,2,3,1620,800,1978,0,"3723 S Chicago St","Seattle","WA 98118","USA"
"1912",2005000,6,4.5,3810,28176,1,0,4,5,3810,0,1969,0,"18309 17th Pl NW","Shoreline","WA 98177","USA"
"3187",660000,2,2.25,2550,6000,2,0,0,5,1860,690,1902,0,"6054 5th Ave NE","Seattle","WA 98115","USA"
"1663",1595000,5,3,3640,8239,2,0,3,3,2540,1100,1982,0,"17200 SE 29th Ct","Bellevue","WA 98008","USA"
"3074",233500,3,2.25,1650,2958,2,0,0,3,1650,0,1985,0,"23441 130th Ave SE","Kent","WA 98031","USA"
"2279",280000,3,2.5,1860,6607,2,0,0,3,1860,0,1989,0,"1206 SW 349th St","Federal Way","WA 98023","USA"
"2917",650000,4,2.5,3040,6587,2,0,0,3,3040,0,2003,0,"22540 NE 92nd St","Redmond","WA 98053","USA"
"2560",680000,4,2.75,2500,4950,2,0,0,3,2500,0,2010,0,"11000 243rd Ave NE","Redmond","WA 98053","USA"
"2147",367300,4,2.75,2190,14937,2,0,0,3,2190,0,1993,0,"4816 S 277th Pl","Auburn","WA 98001","USA"
"4530",542500,5,2.75,3831,13800,2,1,4,3,3831,0,1959,1980,"6208 SE 22nd St","Mercer Island","WA 98040","USA"
"2090",609900,4,2.5,3190,7399,2,0,0,3,3190,0,2006,0,"27465 254th Way SE","Maple Valley","WA 98038","USA"
"1581",672500,4,2.75,2620,6707,2,0,0,3,2620,0,2000,0,"22615 SE 14th Pl","Sammamish","WA 98075","USA"
"129",245000,3,1.75,1920,9306,1,0,0,3,1000,920,1984,0,"30001-30021 55th Pl S","Auburn","WA 98001","USA"
"3759",357500,3,3.5,2080,5100,2,0,0,3,2080,0,2004,2003,"28121 Maple Ridge Way SE","Maple Valley","WA 98038","USA"
"3265",210000,2,1,970,5500,1,0,0,3,970,0,1956,2001,"5031 Martin Luther King Jr Way S","Seattle","WA 98118","USA"
"3244",970000,3,2.25,3060,9950,1.5,0,2,4,1810,1250,1930,0,"2721-3279 Lake Washington Blvd S","Seattle","WA 98144","USA"
"4532",234975,4,2.75,2520,14021,2,0,0,3,2520,0,1999,0,"28509 NE 149th Pl","Duvall","WA 98019","USA"
"797",248000,4,3.5,1850,6519,2,0,0,3,1130,720,1986,0,"1501-1515 SW 327th St","Federal Way","WA 98023","USA"
"2316",7e+05,3,2.75,2500,7378,1,0,0,5,1390,1110,1948,1985,"10050 11th Ave NW","Seattle","WA 98177","USA"
"211",655500,4,3.5,3380,8330,2,0,0,3,3380,0,2000,0,"1703 NW 200th Ln","Shoreline","WA 98177","USA"
"1516",345000,2,1,1080,4000,1,0,0,3,1080,0,1940,1996,"8351 Jones Ave NW","Seattle","WA 98117","USA"
"1332",688000,4,3,3000,4000,1.5,0,3,3,1970,1030,1913,2014,"3220 19th Ave S","Seattle","WA 98144","USA"
"3735",345000,2,1,1080,7775,1,0,0,3,1080,0,1955,2005,"6439 Marshall Ave SW","Seattle","WA 98136","USA"
"4311",589900,2,3,3160,66646,2,0,0,3,3160,0,1993,0,"22819 NE 166th St","Woodinville","WA 98077","USA"
"3387",519000,4,2.5,1950,2617,1.5,0,0,4,1250,700,1910,0,"1124 NW 56th St","Seattle","WA 98107","USA"
"3556",725000,3,2.5,3580,54450,1.5,0,0,3,3580,0,1990,2009,"23115 SE 222nd St","Maple Valley","WA 98038","USA"
"197",513000,4,2.5,2000,5684,2,0,0,3,2000,0,1996,0,"9041 NE 160th Pl","Kenmore","WA 98028","USA"
"3618",699900,4,2.5,2190,11500,1,0,0,4,1430,760,1972,0,"4421 145th Ave SE","Bellevue","WA 98006","USA"
"4168",290000,3,1.5,1950,15954,1,0,0,4,1950,0,1959,0,"1020 S 299th Pl","Federal Way","WA 98003","USA"
"2305",381000,3,1.5,1460,11407,1,0,0,3,1460,0,1954,2005,"16044 33rd Ave NE","Lake Forest Park","WA 98155","USA"
"1999",268500,4,2.5,2100,4237,2,0,0,3,2100,0,2006,0,"12519 SE 236th Pl","Kent","WA 98031","USA"
"1844",1025000,3,1.75,2640,8000,1,0,3,4,1320,1320,1960,2001,"3057 70th Ave SE","Mercer Island","WA 98040","USA"
"2923",378000,4,2.5,1890,12236,1,0,0,3,1230,660,1978,0,"41936 SE 168th St","North Bend","WA 98045","USA"
"1388",527500,3,1.75,2310,78844,1,0,0,3,1760,550,1977,2004,"1950 NW Goode Pl","Issaquah","WA 98027","USA"
"692",253000,4,2.5,2230,4541,2,0,0,3,2230,0,2006,0,"24217 181st Pl SE","Covington","WA 98042","USA"
"294",280000,3,2.5,1600,4271,2,0,0,3,1600,0,2000,0,"5146 S 303rd Pl","Auburn","WA 98001","USA"
"4164",999000,4,2.5,3130,10849,2,0,0,3,3130,0,2013,1923,"9006 116th Ave NE","Kirkland","WA 98033","USA"
"1923",648000,4,2.5,3290,6203,2,0,0,3,3290,0,2008,0,"36011 SE Kendall Peak St","Snoqualmie","WA 98065","USA"
"718",840000,4,1.75,2930,11562,1,0,3,3,1670,1260,1947,2012,"3539 NW 67th St","Seattle","WA 98117","USA"
"557",525000,5,3,2450,4591,2,0,0,3,2450,0,1994,0,"7349 24th Ave NW","Seattle","WA 98117","USA"
"3020",418000,4,1.5,1550,9176,1,0,0,3,1000,550,1956,2001,"1015 158th Pl SE","Bellevue","WA 98008","USA"
"2787",1160000,4,3.5,4680,9700,2,0,0,3,3360,1320,2005,0,"13128 SE Newport Way","Bellevue","WA 98006","USA"
"1104",712000,4,2.5,3400,247421,2,0,0,3,3400,0,2001,0,"27728 SE 268th St","Ravensdale","WA 98051","USA"
"696",707000,4,3.25,3200,7081,2,0,0,3,3200,0,2004,2003,"26054 SE 23rd Pl","Sammamish","WA 98075","USA"
"3855",305000,2,1,2160,12960,1,0,0,3,1360,800,1968,1997,"14717 58th Ave S","Tukwila","WA 98168","USA"
"2928",175000,2,1,1020,5130,1,0,0,4,1020,0,1948,0,"214 7th St SE","Auburn","WA 98002","USA"
"528",3e+05,2,1.75,1360,8100,1,0,0,3,860,500,1975,0,"13730 2nd Ave NW","Seattle","WA 98177","USA"
"1084",691000,4,2.75,2550,8632,1,0,0,3,1700,850,1972,2002,"4118 107th Pl NE","Kirkland","WA 98033","USA"
"1259",1325000,4,3,3370,7920,1,0,3,3,1860,1510,1988,2000,"3524 NW 67th St","Seattle","WA 98117","USA"
"164",650000,3,1.5,1630,7475,1,0,1,3,1160,470,1940,1996,"6009 52nd Ave NE","Seattle","WA 98115","USA"
"2843",350000,2,1,1620,9205,1,0,0,5,850,770,1921,0,"12411 84th Ave NE","Kirkland","WA 98034","USA"
"4076",362000,5,3,1810,3000,2,0,0,3,1810,0,1998,2006,"4519 33rd Ave S","Seattle","WA 98118","USA"
"1652",545000,4,2.5,2720,4738,2,0,0,3,2720,0,2012,1912,"35229 SE Terrace St","Snoqualmie","WA 98065","USA"
"3666",308000,3,1,1010,8800,1,0,0,4,1010,0,1954,1979,"5968 44th Ave S","Seattle","WA 98118","USA"
"337",325900,4,2.5,2320,6270,2,0,0,3,2320,0,2004,2003,"15020 SE 281st St","Kent","WA 98042","USA"
"2906",585000,4,2.5,2840,11044,2,0,0,3,2840,0,2001,0,"12458 Juanita Dr NE","Kirkland","WA 98034","USA"
"2466",585000,3,1,1870,2807,1.5,0,0,4,1580,290,1927,0,"111 NW 53rd St","Seattle","WA 98107","USA"
"1676",1250000,5,3.25,3160,13238,2,0,0,5,3160,0,1972,0,"7325 86th Ave SE","Mercer Island","WA 98040","USA"
"3104",249000,3,1,1000,19204,1,0,0,3,1000,0,1968,2010,"31825 197th Ave SE","Kent","WA 98042","USA"
"493",1015000,3,2.5,2920,34527,1,0,4,4,1800,1120,1954,1983,"5220 SW Pritchard St","Seattle","WA 98116","USA"
"1771",613000,3,2.5,1350,3068,2,0,0,3,1350,0,1991,0,"819 31st Ave","Seattle","WA 98122","USA"
"252",314500,3,1.75,1870,12381,1,0,0,4,1870,0,1957,2001,"29645 10th Pl S","Federal Way","WA 98003","USA"
"3238",325000,3,1,850,6906,1,0,0,3,850,0,1948,1994,"15812 14th Avenue Northeast","Shoreline","WA 98155","USA"
"2858",120000,2,1,990,39964,1,0,0,2,990,0,1945,0,"19229 SE 272nd St","Kent","WA 98042","USA"
"2170",625000,3,1.75,2210,16200,1,0,0,3,1390,820,1958,2004,"2022 123rd Ave SE","Bellevue","WA 98005","USA"
"3157",633634,4,3.5,2960,6000,2,0,0,3,2960,0,2014,0,"34115 SE Ash St","Snoqualmie","WA 98065","USA"
"1439",335000,4,2,1480,3132,1,0,0,5,740,740,1910,0,"5840 16th Ave S","Seattle","WA 98108","USA"
"324",712000,3,1,1250,4620,1.5,0,0,4,1150,100,1900,1971,"3612 Interlake Ave N","Seattle","WA 98103","USA"
"2739",913000,4,2.5,3640,10576,2,0,0,3,3640,0,1999,0,"26966 SE 22nd Way","Sammamish","WA 98075","USA"
"108",1090000,4,2.5,4340,141570,2.5,0,0,3,4340,0,1992,0,"8814 218th Ave NE","Redmond","WA 98053","USA"
"2470",370000,4,2.5,2220,5338,2,0,0,3,2220,0,2001,0,"5127 NE 4th Pl","Renton","WA 98059","USA"
"4371",537500,4,3,2920,33976,1,0,3,5,1460,1460,1964,0,"645 West Lake Sammamish Pkwy NE","Bellevue","WA 98008","USA"
"1686",250000,4,2,1850,7560,1,0,0,4,1540,310,1978,2000,"4511 S 262nd St","Kent","WA 98032","USA"
"69",775000,2,2.5,2680,7392,1,0,0,3,2680,0,2004,2003,"13134 234th Ct NE","Redmond","WA 98053","USA"
"3315",690500,5,2,2000,4211,1.5,0,2,4,1280,720,1908,0,"2406 E Helen St","Seattle","WA 98112","USA"
"1013",619500,3,2.5,1700,4105,2,0,0,3,1700,0,1992,0,"3113 E Cherry St","Seattle","WA 98122","USA"
"2573",150000,3,1.5,1230,8056,1,0,0,4,1230,0,1949,1985,"1432 S 129th St","Burien","WA 98168","USA"
"3592",602000,4,1.75,2420,37800,1,0,0,4,1880,540,1981,0,"23607 NE 72nd St","Redmond","WA 98053","USA"
"3894",1127000,4,2.5,3160,8281,2,0,0,4,3160,0,1995,0,"709 7th St S","Kirkland","WA 98033","USA"
"2782",739888,3,2.5,2420,43177,2,0,4,4,1690,730,1989,0,"4280 E Lake Sammamish Pkwy SE","Sammamish","WA 98075","USA"
"3220",440000,3,1.75,2000,9900,1,0,2,4,1480,520,1957,2001,"17705 3rd Pl SW","Normandy Park","WA 98166","USA"
"277",940000,4,2.25,1890,5940,1,0,1,3,1470,420,1963,2008,"1234 22nd Ave E","Seattle","WA 98112","USA"
"2984",482500,4,3,1630,7626,1,0,0,5,1110,520,1990,0,"12033 20th Ave NE","Seattle","WA 98125","USA"
"674",470000,4,2.5,2310,14023,2,0,0,3,2310,0,1991,0,"14923 280th Pl NE","Duvall","WA 98019","USA"
"2137",425000,2,1,910,4635,1,0,0,4,910,0,1905,0,"6311-6399 28th Ave NW","Seattle","WA 98107","USA"
"72",783500,3,2.5,2850,7130,2,0,0,3,1990,860,1980,0,"151 Euclid Ave","Seattle","WA 98122","USA"
"3600",735000,3,2.25,1490,1212,2,0,0,3,1040,450,2011,0,"425 15th Ave E","Seattle","WA 98112","USA"
"4504",225279.428571,3,2.25,2110,7665,1,0,0,4,1360,750,1973,0,"32744 30th Ave SW","Federal Way","WA 98023","USA"
"90",232000,2,1,1200,8063,1,0,0,4,1200,0,1958,1972,"20220 8th Ave S","Des Moines","WA 98198","USA"
"1165",235750,2,1,740,11250,1,0,0,2,740,0,1938,0,"11050 24th Pl SW","Seattle","WA 98146","USA"
"4125",375000,3,1.75,1660,9673,1,0,0,3,1130,530,1976,0,"13300 NE 186th St","Woodinville","WA 98072","USA"
"1872",565000,5,2.5,2650,11455,1,0,0,3,1400,1250,1961,2004,"527 171st Pl NE","Bellevue","WA 98008","USA"
"3765",485000,4,1.75,1430,4096,2,0,0,3,1430,0,1900,2005,"216 20th Ave","Seattle","WA 98122","USA"
"3942",255000,2,1.5,920,1598,2,0,0,3,920,0,1995,0,"10740 Stone Ave N","Seattle","WA 98133","USA"
"3449",568000,4,1.75,2110,265716,1,0,0,4,2110,0,1979,0,"5519 236th Ave NE","Redmond","WA 98053","USA"
"1337",160000,2,1,1180,9350,1,0,0,3,1180,0,1918,0,"12662 60th Ave S","Seattle","WA 98178","USA"
"1727",342000,2,2.5,1175,1366,2,0,0,3,740,435,2005,0,"9219 Stone Ave N","Seattle","WA 98103","USA"
"3988",527000,6,3.5,3000,8401,1,0,0,3,1500,1500,1979,2014,"12750 27th Ave NE","Seattle","WA 98125","USA"
"4338",670000,3,2.5,2700,1438,2,0,0,3,1280,1420,2003,0,"746 Boylston Ave E","Seattle","WA 98102","USA"
"761",417000,3,1.5,1340,10224,1,0,0,4,1340,0,1956,0,"3825 138th Ave SE","Bellevue","WA 98006","USA"
"1558",595000,3,2,1480,5000,1,0,0,4,750,730,1928,0,"7728 11th Ave NW","Seattle","WA 98117","USA"
"924",572500,3,2.25,2030,9791,1,0,0,4,1500,530,1984,0,"13322 SE 77th Ct","Newcastle","WA 98059","USA"
"167",425000,4,2,1520,7983,1,0,0,5,1520,0,1967,0,"14876 Juanita Woodinville Way NE","Inglewood-Finn Hill","WA 98034","USA"
"4486",681965.78125,4,2.5,2683,40386,2,0,0,4,2683,0,1987,0,"10821 151st Ave NE","Redmond","WA 98052","USA"
"2154",554000,3,1.75,1760,10780,1,0,0,3,1760,0,1977,2004,"1829 140th Ave SE","Bellevue","WA 98005","USA"
"2651",379900,5,3.5,2800,7350,2,0,0,3,2800,0,1995,0,"8430 8th Ave SW","Seattle","WA 98106","USA"
"3072",324000,4,1.75,2110,7208,1,0,0,3,1170,940,1975,0,"17403 159th Ave SE","Renton","WA 98058","USA"
"232",495000,3,1,990,6000,1,0,0,3,990,0,1943,2002,"5628 NE 59th St","Seattle","WA 98105","USA"
"3079",725000,3,1.75,1610,8613,1,0,0,5,1610,0,1962,0,"10905 NE 48th St","Kirkland","WA 98033","USA"
"2389",210000,4,1.5,1130,7840,1,0,0,4,1130,0,1970,0,"33818 35th Ave SW","Federal Way","WA 98023","USA"
"2592",373000,3,1,1770,5720,1.5,0,0,4,1140,630,1926,1993,"5232 36th Ave SW","Seattle","WA 98126","USA"
"3239",6e+05,4,3.25,4690,14930,2,0,2,3,3680,1010,1995,0,"19560 44th Ave NE","Lake Forest Park","WA 98155","USA"
"1916",791000,3,2.25,2430,5500,2,0,0,3,1810,620,1989,0,"625 8th Ave","Kirkland","WA 98033","USA"
"2624",325000,4,2.5,2610,7091,2,0,0,3,2610,0,1987,2000,"33439 11th Pl SW","Federal Way","WA 98023","USA"
"229",776000,4,2.5,3040,6425,2,0,0,3,3040,0,2008,0,"16775 NE 86th Ct","Redmond","WA 98052","USA"
"3005",1240000,7,5.5,6630,13782,2,0,0,3,4930,1700,2004,2003,"16659 SE 69th Way","Bellevue","WA 98006","USA"
"4298",279000,2,1,670,6300,1,0,0,5,670,0,1942,0,"9716 33rd Ave SW","Seattle","WA 98126","USA"
"1158",432000,3,2.25,1470,1578,2,0,0,3,1090,380,2007,0,"7202 California Ave SW","Seattle","WA 98136","USA"
"1867",5e+05,5,3,2920,11440,2,0,0,3,2920,0,2003,0,"18202 Dayton Ave N","Shoreline","WA 98133","USA"
"3034",330000,4,2.5,2380,13550,2,0,0,3,2380,0,1999,0,"3430 S 173rd St","SeaTac","WA 98188","USA"
"2719",936000,3,1.75,2960,12420,1,0,2,4,1480,1480,1952,0,"3267 57th Ave SW","Seattle","WA 98116","USA"
"84",410000,3,2.25,1800,36704,1,0,0,4,1360,440,1978,2000,"24502 SE Mirrormont Dr","Issaquah","WA 98027","USA"
"3063",286000,3,2.75,1100,750,2,0,0,3,780,320,2008,0,"4733 Delridge Way SW","Seattle","WA 98106","USA"
"1258",554820,4,2,3510,12905,1,0,2,3,2210,1300,1965,1982,"1962 SW 172nd St","Burien","WA 98166","USA"
"906",280000,3,2.5,1720,1916,2,0,0,3,1720,0,2005,0,"454 A St","Renton","WA 98056","USA"
"1353",515000,4,2.5,3200,6473,2,0,0,3,3200,0,2005,0,"5201 NE 11th Ct","Renton","WA 98059","USA"
"3925",1140000,3,2.5,2780,33503,1.5,0,1,4,2110,670,1969,0,"2800-2998 194th Ave SE","Sammamish","WA 98075","USA"
"2354",475000,3,2.25,1630,2520,2,0,0,3,1630,0,2005,0,"2009 25th Ave NE","Issaquah","WA 98029","USA"
"2650",547000,4,1,1720,2800,1.5,0,0,4,1200,520,1926,1993,"6211 27th Ave NE","Seattle","WA 98115","USA"
"3414",460000,3,2.5,1730,8490,1,0,0,3,1210,520,1969,2010,"9037 NE 132nd Pl","Kirkland","WA 98034","USA"
"449",465000,4,2.5,1930,9653,1,0,0,4,1930,0,1968,0,"29612 2nd Ave SW","Federal Way","WA 98023","USA"
"2415",495000,3,2,1769,9300,1,0,0,4,1769,0,1955,2009,"531 SW 181st St","Normandy Park","WA 98166","USA"
"1006",765000,4,2.25,2560,12100,1,0,0,4,1760,800,1976,1992,"17323 NE 24th St","Redmond","WA 98052","USA"
"1021",325000,4,2.25,1870,9680,1,0,0,4,1170,700,1959,0,"12813 81st Ave NE","Kirkland","WA 98034","USA"
"3085",494000,4,2.5,1830,7345,1,0,0,4,1540,290,1973,0,"1220 NW 199th Pl","Shoreline","WA 98177","USA"
"1781",440000,3,2.25,1680,57063,2,0,0,4,1680,0,1989,0,"43105 SE 149th St","North Bend","WA 98045","USA"
"621",525000,3,2.5,1580,1161,2,0,0,3,1010,570,2008,0,"213 26th Ave E","Seattle","WA 98112","USA"
"1865",219950,3,2.25,1500,7615,1,0,0,3,1150,350,1984,0,"32110 12th Pl SW","Federal Way","WA 98023","USA"
"4181",7e+05,3,1,1410,7200,2,0,0,4,1410,0,1901,0,"1122A 23rd Ave S","Seattle","WA 98144","USA"
"2716",430000,3,1,980,7200,1,0,0,4,980,0,1950,1983,"3609 49th Ave SW","Seattle","WA 98116","USA"
"3468",279900,3,1.75,1580,6620,1,0,0,3,1580,0,1988,2000,"2401 S 359th St","Federal Way","WA 98003","USA"
"1522",363000,4,2.5,3753,7204,2,0,0,3,3336,417,2008,0,"33415 41st Ave SW","Federal Way","WA 98023","USA"
"4588",229629.5,2,1,770,8149,1,0,0,3,770,0,1948,1994,"16040 28th Ave NE","Shoreline","WA 98155","USA"
"1805",960000,4,3,4590,9150,2,0,0,3,3490,1100,1981,2013,"13003 13th Ave NW","Seattle","WA 98177","USA"
"2144",229950,4,1.75,1300,21000,1,0,0,4,1300,0,1969,0,"32838 38th Ave S","Federal Way","WA 98001","USA"
"3360",374500,3,2.25,1400,11400,2,0,0,3,1400,0,1984,0,"8133 NE 158th St","Kenmore","WA 98028","USA"
"4515",297857.142857,4,2.5,3490,5000,2,0,0,3,3490,0,2003,0,"16102 SE 251 St","Covington","WA 98042","USA"
"352",716500,4,2.5,3290,6465,2,0,0,3,3290,0,2002,0,"1031 272nd Pl SE","Sammamish","WA 98075","USA"
"152",397000,4,2,1440,7680,1,0,0,3,1200,240,1971,0,"10601 NE 138th Pl","Kirkland","WA 98034","USA"
"3135",590000,4,2.5,3220,7875,1.5,0,0,4,3220,0,1966,0,"16429 NE 18th St","Bellevue","WA 98008","USA"
"3046",320000,3,2.5,2280,7417,2,0,0,3,2280,0,1998,2006,"27515 44th Pl S","Auburn","WA 98001","USA"
"212",345000,3,1,1110,6250,1,0,0,3,1110,0,1956,2001,"3230 NE 95th St","Seattle","WA 98115","USA"
"4254",284000,3,1.5,1500,10018,1,0,0,4,1500,0,1957,2001,"15012 133rd Ave SE","Renton","WA 98058","USA"
"998",749950,3,2.5,2770,10773,2,0,2,3,2770,0,1992,0,"16420 SE 39th Pl","Bellevue","WA 98008","USA"
"638",530000,4,2.75,2450,15002,1,0,0,5,2450,0,1974,0,"404 SW 197th St","Normandy Park","WA 98166","USA"
"386",494000,3,2.5,2310,4729,2,0,0,3,2310,0,2011,0,"7630 Todd Pl","Kenmore","WA 98028","USA"
"3628",780000,4,2.5,3500,7048,2,0,0,3,3500,0,2005,0,"8906-8914 236th Ave NE","Redmond","WA 98053","USA"
"3710",875000,5,3.5,3840,8279,2,0,0,3,3840,0,2001,0,"21033 SE 5th St","Sammamish","WA 98074","USA"
"3483",210000,2,1,720,8040,1,0,0,3,720,0,1943,2002,"15252 20th Ave SW","Burien","WA 98166","USA"
"3417",254600,3,2,1470,20000,1,0,0,4,1470,0,1968,0,"19627 SE Auburn-Black Diamond Rd","Auburn","WA 98092","USA"
"3021",442900,4,1.75,1780,2788,1,0,0,4,890,890,1943,0,"3423 33rd Ave W","Seattle","WA 98199","USA"
"2504",718500,3,2,2910,6600,2,0,0,4,1920,990,1900,1988,"3959 S Ferdinand St","Seattle","WA 98118","USA"
"95",524000,3,1.75,1560,5520,1,0,0,4,780,780,1944,0,"3434 33rd Ave W","Seattle","WA 98199","USA"
"3793",452000,3,1.75,1110,9012,1,0,0,4,1110,0,1966,0,"5321-5327 156th Dr NE","Redmond","WA 98052","USA"
"1215",355000,3,2.25,1280,959,3,0,0,3,1280,0,2005,0,"8526 Nesbit Ave N","Seattle","WA 98103","USA"
"766",343000,4,1.75,2290,10290,1,0,0,3,1340,950,1960,2012,"2816 SW 110th Pl","Seattle","WA 98146","USA"
"3591",295000,1,1,700,2500,1,0,0,4,700,0,1907,0,"4108 25th Ave SW","Seattle","WA 98106","USA"
"3830",599950,4,3.5,2500,3080,2,0,0,3,1810,690,2008,0,"7928 150th Ct NE","Redmond","WA 98052","USA"
"2528",416000,3,1,1110,12150,1,0,0,4,1110,0,1957,2001,"717 164th Ave SE","Bellevue","WA 98008","USA"
"4110",613000,2,2,1170,1890,1.5,0,1,4,1170,0,1927,0,"2425 Westview Dr W","Seattle","WA 98119","USA"
"3539",641000,4,2.5,2770,63118,2,0,0,3,2770,0,1997,0,"6338 284th Way NE","Carnation","WA 98014","USA"
"1580",503000,3,2,2590,108900,2,0,0,3,1980,610,1988,2000,"21409 SE 215th St","Maple Valley","WA 98038","USA"
"1386",375000,3,1.5,2000,7294,1,0,0,3,1520,480,1965,1993,"5230 S Rose St","Seattle","WA 98118","USA"
"3177",640000,4,2.5,2341,9594,2,0,0,3,2341,0,1997,0,"11001-11025 169th Pl NE","Redmond","WA 98052","USA"
"2309",371000,3,1,890,7200,1,0,0,3,890,0,1951,1994,"3843 NE 113th St","Seattle","WA 98125","USA"
"1394",305000,4,1,2100,9288,1,0,0,4,1050,1050,1968,0,"16423 126th Pl SE","Renton","WA 98058","USA"
"1562",349000,4,1.75,1700,7800,1,0,0,5,1120,580,1981,0,"4518 SE 4th St","Renton","WA 98059","USA"
"562",581000,4,1.75,2090,8164,1,0,0,4,1070,1020,1963,0,"7408 138th Pl NE","Redmond","WA 98052","USA"
"1611",490000,3,1.75,1920,5405,1,0,2,4,960,960,1947,1988,"4832 38th Ave SW","Seattle","WA 98126","USA"
"4383",0,5,4.5,4630,6324,2,0,0,3,3210,1420,2006,0,"6925 Oakmont Ave SE","Snoqualmie","WA 98065","USA"
"688",607500,5,1.75,2220,6000,1.5,0,0,3,1420,800,1923,1998,"3047 21st Ave W","Seattle","WA 98199","USA"
"2575",427000,3,2.5,1830,65340,1,0,0,3,1520,310,1991,0,"44218 SE 161st Pl","North Bend","WA 98045","USA"
"3278",365500,3,2,1410,9600,1,0,0,4,1410,0,1983,0,"18120 145th Pl NE","Woodinville","WA 98072","USA"
"3893",940000,4,2,2490,9525,2,0,0,5,2490,0,1968,0,"4558 91st Ave SE","Mercer Island","WA 98040","USA"
"2684",549000,2,2.5,1380,953,3,0,0,3,1380,0,2006,0,"5010 Greenwood Ave N","Seattle","WA 98103","USA"
"3708",580000,3,2.5,2200,11000,2,0,2,3,2200,0,1978,0,"1430-1920 W Lake Sammamish Pkwy SE","Bellevue","WA 98008","USA"
"4394",326428.571429,3,1,1250,4800,1,0,0,4,1250,0,1951,1999,"3809 SW Findlay St","Seattle","WA 98126","USA"
"494",225000,3,1,990,8012,1,0,0,4,990,0,1966,0,"16411 120th Ave SE","Renton","WA 98058","USA"
"1365",495000,4,2.25,1940,9144,1,0,0,4,1430,510,1956,0,"1805 154th Ave SE","Bellevue","WA 98007","USA"
"851",415000,3,2.5,2480,8342,2,0,0,3,2480,0,1986,0,"18303 155th Pl SE","Renton","WA 98058","USA"
"3379",450000,2,1,1380,4390,1,0,0,4,880,500,1931,0,"9024 5th Ave NE","Seattle","WA 98115","USA"
"529",505000,4,2.5,2780,6369,1,0,0,3,1590,1190,1978,0,"9311 NE 142nd St","Kirkland","WA 98034","USA"
"2258",749000,3,1,1580,5000,1.5,0,0,3,1580,0,1926,2003,"7526 Jones Ave NW","Seattle","WA 98117","USA"
